neighbourhood,city,n_listings,median_price_eur,mean_price_eur,mean_log_price,mean_review_rating,mean_composite,mean_cleanliness,pct_entire_home,pct_superhost,pct_multi_listing,pct_at_risk,mean_availability_365,mean_occupancy,mean_revenue_eur,mean_dist_km,mean_sentiment,pct_has_revenue,pct_has_sentiment,dist_zone,listing_share,supply_demand_imbalance,competitive_saturation_score,opportunity_score,price_confidence,price_confidence_note
1Ο ΝΕΚΡΟΤΑΦΕΙΟ,athens,38,66.0,94.10526315789474,4.386406348825617,0.9642105263157896,9.623757894736842,4.786578947368421,1.0,0.6052631578947368,0.7631578947368421,0.631578947368421,250.42105263157896,91.39473684210526,10748.421052631578,1.4434405377281452,0.5739678891937334,1.0,0.9473684210526316,near_1_3km,0.0026681645836258,50.0,0.7,0.7485,observed,All Athens listings use IAB observed prices
ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,athens,30,43.5,46.13333333333333,3.815141856351212,0.9664666666666668,9.652,4.768,0.9333333333333332,0.3666666666666666,0.4,0.5333333333333333,261.96666666666664,66.6,3024.3,4.959689444265269,0.313412632034632,1.0,0.8333333333333334,mid_3_5km,0.0021064457239151,50.0,0.3867,0.6027,observed,All Athens listings use IAB observed prices
ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,athens,880,55.0,68.96022727272727,4.113262806786745,0.9448227272727272,9.43382056818182,4.779488636363636,0.8738636363636364,0.4511363636363636,0.7772727272727272,0.6102272727272727,253.9875,92.13295454545457,5534.635227272727,1.6048578542355565,0.416521923832383,1.0,0.8784090909090909,near_1_3km,0.0617890745681786,14.9109,0.6468,0.3505,observed,All Athens listings use IAB observed prices
ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,athens,76,48.0,53.92105263157895,3.953556217775238,0.9505,9.50348552631579,4.766447368421052,0.9736842105263158,0.1973684210526315,0.5263157894736842,0.618421052631579,255.73684210526315,56.85526315789474,2805.2236842105262,3.623012073561205,0.3831268830400499,1.0,0.7631578947368421,mid_3_5km,0.0053363291672517,50.0,0.3947,0.5287,observed,All Athens listings use IAB observed prices
ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,athens,102,57.0,68.57843137254902,4.143972481196929,0.9592941176470589,9.556096078431374,4.82735294117647,0.9509803921568628,0.2941176470588235,0.6568627450980392,0.5588235294117647,241.9705882352941,56.57843137254902,3765.2843137254895,2.580395388204323,0.4168588393759019,1.0,0.7843137254901961,near_1_3km,0.0071619154613116,50.0,0.5118,0.6039,observed,All Athens listings use IAB observed prices
ΑΚΡΟΠΟΛΗ,athens,449,107.0,134.28730512249444,4.729669086578376,0.9639866369710468,9.693752561247216,4.83358574610245,0.9710467706013364,0.4855233853006681,0.7126948775055679,0.4944320712694877,251.58129175946547,93.03786191536749,11956.126948775056,1.4625367389889414,0.6327186487663388,1.0,0.8775055679287305,near_1_3km,0.0315264710012638,29.511,0.6218,0.7385,observed,All Athens listings use IAB observed prices
ΑΜΠΕΛΟΚΗΠΟΙ,athens,432,60.0,70.06481481481481,4.165856733155228,0.959300925925926,9.632813425925926,4.786666666666667,0.9560185185185184,0.386574074074074,0.5740740740740741,0.6273148148148148,254.94675925925927,57.06944444444444,3557.409722222222,2.939552751272684,0.3440745304186112,1.0,0.8634259259259259,mid_3_5km,0.0303328184243786,18.8144,0.4991,0.309,observed,All Athens listings use IAB observed prices
ΑΝΩ ΚΥΨΕΛΗ,athens,122,45.0,52.29508196721312,3.895439024463842,0.9483770491803278,9.443904918032787,4.715491803278688,0.9262295081967212,0.3770491803278688,0.5327868852459017,0.5409836065573771,256.0409836065574,59.09836065573771,2956.344262295082,3.3999620410850286,0.4305012697761475,1.0,0.9016393442622952,mid_3_5km,0.0085662126105884,50.0,0.4705,0.5946,observed,All Athens listings use IAB observed prices
ΑΝΩ ΠΑΤΗΣΙΑ,athens,63,51.0,58.90476190476191,4.020676463697594,0.9554285714285714,9.565301587301589,4.743333333333333,0.9682539682539684,0.3015873015873015,0.6190476190476191,0.492063492063492,210.8095238095238,42.44444444444444,2101.174603174604,4.8593638478282095,0.3549468917887667,1.0,0.8253968253968254,mid_3_5km,0.0044235360202218,50.0,0.4921,0.6087,observed,All Athens listings use IAB observed prices
ΒΟΤΑΝΙΚΟΣ,athens,118,71.0,82.12711864406779,4.297354827606875,0.9655593220338984,9.660333050847456,4.812796610169492,0.8983050847457628,0.4830508474576271,0.6864406779661016,0.635593220338983,256.635593220339,59.09322033898305,4217.3983050847455,2.3280130253319333,0.4686557555602204,1.0,0.8220338983050848,near_1_3km,0.008285353180733,50.0,0.6051,0.556,observed,All Athens listings use IAB observed prices
